"Scott (neé Carpenter), Margaret Charlotte"
Mentioned In, URL
Letter 3.1123 19 November 1805,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1123.html
Letter 3.1152 4 February 1806,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1152.html
Letter 3.1358 12 September 1807,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1358.html
Letter 3.1369 4 October 1807,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1369.html
Letter 3.1392 8 December 1807,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1392.html
Letter 3.1446 22 April 1808,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1446.html
Letter 3.1492 15 August 1808,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1492.html
Letter 3.1571 27 January 1809,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1571.html
Letter 3.1630 [16 May 1809],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1630.html
Letter 3.1645 16 June 1809,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1645.html
Letter 4.1778 11 May 1810,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1778.html
Letter 4.1806 17 September 1810,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1806.html
Letter 4.1844 24 December 1810,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1844.html
Letter 4.1895 2 April 1811,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1895.html
Letter 4.2294 31 August 1813,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2294.html
Letter 4.2323 5 November 1813,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2323.html
Letter 4.2409 27 April 1814,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2409.html
Letter 4.2529 24 December 1814,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2529.html
Letter 5.2738 17 March 1816,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2738.html
Letter 5.3089 10 March 1818,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3089.html
Letter 6.3262 11 March 1819,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3262.html
Letter 7.4212 8 July 1824,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4212.html
Letters To, URL
